Stadt,Anzahl_Firmen,lat,lon
Sortimentsbuchhandlung Utrecht (Niederlande),2,0,0
Luxemburg (Luxemburg),42,0,0
Kirchhain,8,0,0
später Troppau,2,0,0
später Kühlungsborn,2,0,0
später Erlangen,2,0,0
Heerwegen,2,0,0
U.S.A.),2,0,0
später Bischofroda,2,0,0
Ansbach,7,0,0
später Posen,2,0,0
Goslar,8,0,0
Oker,2,0,0
Trondheim (Norwegen),6,0,0
Wesermünde-Lehe,5,0,0
Giessen,15,50.58371991,8.650004027
Eschershausen,2,0,0
Neubrandenburg,9,0,0
Patschkau,3,0,0
Kreuztal,2,0,0
später Landesdruckerei Sachsen G.m.b.H. Dresden,2,0,0
Stendal,12,0,0
Lissa,2,0,0
Bautzen,19,0,0
Romanshorn (Schweiz),5,0,0
Bedburg-Erft,2,0,0
Metten,2,0,0
Feudingen,2,0,0
Freiberg,19,0,0
Ellwangen,2,0,0
Solothurn (Schweiz),8,0,0
Timisoara (Rumänien),3,0,0
Plettenberg,4,0,0
Überlingen,5,0,0
Hamburg-Fuhlsbüttel,2,0,0
Gelsenkirchen-Buer,7,0,0
Gleiwitz,6,0,0
später Wiesentheid,2,0,0
Kiel,31,54.33039044,10.13001705
Witten,10,0,0
Bergisch Gladbach,3,0,0
Bensheim,3,0,0
später Ebenhausen,2,0,0
Naumburg (Saale),13,0,0
Bad Rothefelde,2,0,0
später Kaloch-Gehlsdorf,2,0,0
Sortimentsbuchhandlung und Antiquariat,2,0,0
Hameln,11,0,0
Wildeshausen,3,0,0
Hohenlimburg,3,0,0
Stargard,5,0,0
Grulich,2,0,0
Klingenthal,6,0,0
Linz (Österreich),30,0,0
Hülsenbusch,2,0,0
Herzogenrath,2,0,0
Bethel,3,60.79330345,-161.7557961
Donauwörth,5,0,0
Solingen,13,0,0
Meiringen (Schweiz),3,0,0
Korntal,2,0,0
Heiligenbeil-Rosenberg,2,0,0
Klosterneuburg,2,0,0
Sortimentsbuchhandlung Magdeburg,2,0,0
Kaiserswerth,2,0,0
Neuendettelsau,3,0,0
später Neusatz (Ungarn),2,0,0
Kropp,2,0,0
Luxemburg,3,0,0
Neukirchen,7,0,0
St. Gallen (Schweiz),26,0,0
später Ludwigsburg,2,0,0
